评价,评论类型,情感得分,置信度
物流速度超级快 前天买的 第二天就到了,正面,0.759832984061309,0.759832984061309
口感紧实，鸡肉肉比较明显，味道可以,中性,0.5524026086236791,0.9475973913763209
不错不错，挺好吃的,正面,0.8882730441025024,0.8882730441025024
不咸不淡，味道刚好,负面,0.2541094030239423,0.7458905969760576
物流挺快的～买过很多次挺好吃的,正面,0.895,0.895
很好吃 这个黑椒味的简直绝了 根本不够吃,正面,0.6114583635856385,0.6114583635856385
一直复购很久了，质量一直都不错，适合晚餐不想吃太多的时候吃，挺好的，只不过包装换了。,正面,0.6716986436226773,0.6716986436226773
吃的人说很好吃,正面,0.8011786085443213,0.8011786085443213
口感很好,正面,0.8937184641650445,0.8937184641650445
日期新鲜，味道好！,中性,0.47840060244880944,0.9784006024488094
此用户没有填写评价。,负面,0.17591049606621786,0.8240895039337821
当天追评：肉很紧实，味道不错，也不甜，价格也很好，喜欢黑胡椒味,中性,0.4602458833850094,0.9602458833850094
自从尝过之后一直选这款鸡肉肠，味道好,正面,0.7923537506023538,0.7923537506023538
这次购物体验很满意！商品的功能全面且出色，每一处都彰显着品质和用心。配货速度超快。服务质量更是优秀到极致，简直完美！,正面,0.854340038357593,0.854340038357593
还可以，补充蛋白质，减肥必备！！！,中性,0.358698543622153,0.858698543622153
可以 好吃，就是比我预期的小了一点 三个口味各一包，合理合味！,中性,0.5939868424758232,0.9060131575241768
商家回复：这款鸡胸肉肠人气很高喔! 口感不柴，无淀粉级的；生产过程中不额外添加食用油，一袋10根，一根约25g，碳水含量低至每根1.5g，1根鸡肉肠蛋白质含量约5.4g，一根热量才32大卡左右；日常可以当做健康低脂小零食，减脂期间可以搭配沙拉哦,负面,0.22868776621914005,0.77131223378086
更多,中性,0.5980997177798684,0.9019002822201316
很好看 很 喜欢 也没什么味道,正面,0.8820008517272907,0.8820008517272907
闲暇时来一个，好吃不胖，独立包装很方便,正面,0.752905517160433,0.752905517160433
味道很好，放在办公室饿的时候吃一个巨方便，适合减脂期,中性,0.4299538572927568,0.9299538572927568
超级好 可以放在泡面里 特别好吃,正面,0.8802558512469425,0.8802558512469425
同事介绍的 口感和味道确实不错 低糖高蛋白 孕妇也能吃 客服也很耐心的讲解产品,正面,0.895,0.895
经常买他们家的，已经回购好多次了，他们家算是健身食品里面最好吃的了,中性,0.5517931360028806,0.9482068639971194
在家、出门，饿了困了随时来一个，很顶饱！😝😝😝,中性,0.5047183012456756,0.9952816987543244
好吃不长肉，减脂好伴侣,正面,0.7715738524815383,0.7715738524815383
好吃好吃,正面,0.710437966803554,0.710437966803554
构思鸡胸肉肠好评，可从口感、味道、品质、性价比等角度出发： 1. 口感弹牙，鸡肉味超浓郁，一口气炫好几根！ 2. 肉肠低脂高蛋白，健身解馋两不误，爱了！ 4. 价格实惠量又足，回购好多次，超赞！,中性,0.546740396440915,0.953259603559085
不错不错出去玩必备 很推荐很好,正面,0.895,0.895
超级好吃的香肠很减脂，很喜欢原味,正面,0.8490954514522672,0.8490954514522672
口感不错就是感觉贵了,正面,0.895,0.895
商家回复：您好 非常感谢您可以认可我们的产品 控能鸡肉肠选用武夷山生态养殖出口级鸡胸肉，拒绝激素、色素、抗生素、药物残留、****，低脂高蛋白孕期哺乳期都是可以放心食用哦，品质有保障 店也有活动 可以多多关注下哦,正面,0.6944128091389662,0.6944128091389662
更多,中性,0.5980997177798684,0.9019002822201316
热量有一点点高 里面有脆骨挺好吃的,正面,0.895,0.895
很好吃，之前也吃过，现在自己买了，下次还买,正面,0.6663071460398329,0.6663071460398329
原味比烧烤更好吃,正面,0.7819157166449484,0.7819157166449484
买了原味和黑胡椒味，感觉黑胡椒味比较好吃,负面,0.24496009943136468,0.7550399005686353
商家回复：您好~控能鸡胸肉肠高蛋白无淀粉级，无油嫩蒸，低脂不怕胖，特别添加鸡胸软骨口感Q弹，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些哦,负面,0.2344945370101954,0.7655054629898046
更多,中性,0.5980997177798684,0.9019002822201316
好吃又健康！,正面,0.8666918570511235,0.8666918570511235
尝了一根，味道挺好吃的,正面,0.713592417451427,0.713592417451427
好吃爱吃买了好几次了 山姆也有它,正面,0.875479219611472,0.875479219611472
一直回购,负面,0.27892121822404925,0.7210787817759508
煎起来更好吃,正面,0.7205808066546652,0.7205808066546652
商家回复：谢谢您支持和认可~ 客户的满意是我们最大的动力 期待与您的下一次合作哦~,中性,0.24891372387872868,0.7489137238787287
更多,中性,0.5980997177798684,0.9019002822201316
挺好吃的，下次还来,正面,0.7629341068533879,0.7629341068533879
好，多次购买了,正面,0.695366846134383,0.695366846134383
超级好吃,正面,0.6077220230045776,0.6077220230045776
不错，挺好的，很喜欢,正面,0.895,0.895
无限加购，好吃不胖,正面,0.704417597516684,0.704417597516684
多吃回购鸡肉肠，口感劲道，清香,中性,0.42567015120490964,0.9256701512049097
不错 挺好吃的,正面,0.895,0.895
此用户没有填写评价。,负面,0.17591049606621786,0.8240895039337821
45天后追评：上次买了很喜欢，就回购了！特别有嚼劲；五香味最好吃~,正面,0.6297671868529127,0.6297671868529127
口感味道：4月7号下单，拍了4包。发的居然是1月10号的日期，今天拿起来看下，5月10号就过期了。大家多买要慎重。 新鲜度：保质期4个月，发出来的有效期不到1个月了，无语。,负面,0.19603440997829347,0.8039655900217065
商家回复：您好，非常抱歉给您带来不满意的购物体验，我们是以客户第一为服务宗旨，也是非常重视消费体验度的，如果您在购买食用的过程中有遇到任何问题，您都可以与在线客服进行联系，在线客服都会积极帮您进行处理，售后问题处理永远不过期,负面,0.1871512209604844,0.8128487790395156
更多,中性,0.5980997177798684,0.9019002822201316
新鲜度：保质期4个月，发出来的有效期不到1个月了，无语。 保质期：4月7号下单，拍了4包。发的居然是1月10号的日期，今天拿起来看下，5月10号就过期了。大家多买要慎重。,负面,0.19021405117340018,0.8097859488265998
商家回复：您好，非常抱歉给您带来不满意的购物体验，我们是以客户第一为服务宗旨，也是非常重视消费体验度的，如果您在购买食用的过程中有遇到任何问题，您都可以与在线客服进行联系，在线客服都会积极帮您进行处理，售后问题处理永远不过期。,负面,0.1871512209604844,0.8128487790395156
更多,中性,0.5980997177798684,0.9019002822201316
超级超级超级超级超级超级难吃…,负面,0.13712045819041171,0.8628795418095883
商家回复：您好，控能鸡胸肉肠高蛋白无淀粉，额外添加了脆骨饱腹感佳，可能每个人口感不一样，很多顾客反馈是比较Q弹的，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。,负面,0.24154944869803258,0.7584505513019675
更多,中性,0.5980997177798684,0.9019002822201316
第一次买很好吃，第二次买的很咸，没那么好吃了,中性,0.4578828095105353,0.9578828095105353
商家回复：鸡胸肉肠高蛋白无淀粉，提升了膳食纤维含量饱腹感佳，可能每个人口感不一样，很多顾客反馈是比较Q弹的，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。,负面,0.23374762412038608,0.7662523758796139
更多,中性,0.5980997177798684,0.9019002822201316
香肠添加剂太多，口味很咸,正面,0.7160151268758392,0.7160151268758392
商家回复：鸡胸肉肠高蛋白无淀粉，提升了膳食纤维含量饱腹感佳，可能每个人口感不一样，很多顾客反馈是比较Q弹的，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。,负面,0.23374762412038608,0.7662523758796139
更多,中性,0.5980997177798684,0.9019002822201316
不咋好吃,中性,0.5429567202906795,0.9570432797093205
商家回复：控能鸡胸肉肠高蛋白无淀粉级，无油嫩蒸，低脂不怕胖，特别添加鸡胸软骨口感Q弹，很多顾客都非常喜欢想要多买，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。,负面,0.23961987422633546,0.7603801257736645
更多,中性,0.5980997177798684,0.9019002822201316
差评给赠品，给的什么垃圾赠品。下午练完七点吃了一袋他们送的魔芋面，腹胀到午夜四点。期间十二点我感觉不舒服还吃了颗马丁尼。实在是涨的睡不着，起来催吐了，吐出来的魔芋面一点都没有消化，连带着我晚上吃的药都没有消化。关键是绝对不是我消化的问题，吐完之后我肠胃立刻舒服了，吃了桃子喝酸奶！喝了水整个人都活过来了！送的根本不是什么好产品，送的是毒！,负面,0.23422081624529262,0.7657791837547074
商家回复：非常抱歉给您带来不满意的购物体验，这款控能魔芋面上架以来 深受很多减脂 健身人群喜爱 ，热量不高 饱腹感强。反馈非常不错的 。我们是以客户第一为服务宗旨，也是非常重视消费体验度的，如果您在购买食用的过程中有遇到任何问题，您都可以与在线客服进行联系，在线客服都会积极帮您进行处理，售后问题处理永远不过期。,负面,0.23915910885611963,0.7608408911438804
更多,中性,0.5980997177798684,0.9019002822201316
味道不咋地，吃起来有点苦。。。。。。,中性,0.3722854857896649,0.8722854857896649
商家回复：鸡胸肉肠高蛋白无淀粉，提升了膳食纤维含量饱腹感佳，可能每个人口感不一样，很多顾客反馈是比较Q弹的，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。,负面,0.23374762412038608,0.7662523758796139
更多,中性,0.5980997177798684,0.9019002822201316
口感味道：不好吃,中性,0.40949869431377417,0.9094986943137742
商家回复：控能鸡胸肉肠高蛋白无淀粉级，无油嫩蒸，低脂不怕胖，特别添加鸡胸软骨口感Q弹，很多顾客都非常喜欢想要多买，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。,负面,0.23961987422633546,0.7603801257736645
更多,中性,0.5980997177798684,0.9019002822201316
味道可以，自己买了还给朋友买了，提个小建议，就是包装每次收到都很破！,负面,0.3116282345319856,0.6883717654680144
商家回复：非常抱歉给您带来不满意的购物体验，我们是以客户第一为服务宗旨，也是非常重视消费体验度的，如果您在购买食用的过程中有遇到任何问题，您都可以与在线客服进行联系，在线客服都会积极帮您进行处理，售后问题处理永远不过期。,负面,0.17847686178197641,0.8215231382180236
更多,中性,0.5980997177798684,0.9019002822201316
保质期挺短的 要尽快吃。。。。,中性,0.40562274052046743,0.9056227405204674
商家回复：您好，控能鸡胸肉肠保质期是4个月的哦，我们发出去的日期也是很新鲜的的哈，一袋是10根的，正常吃的话在保质期内是都是可以吃完的哦。感谢您对店铺的支持，祝您生活愉快！,负面,0.23596650761889731,0.7640334923811027
更多,中性,0.5980997177798684,0.9019002822201316
此用户没有填写评价。,负面,0.17591049606621786,0.8240895039337821
50天后追评：伪健康食品，全是香精味精,正面,0.629330331141841,0.629330331141841
一袋里十根 刚好饿了时候来一根 比吃零食好太多 而且有脆骨咯吱咯吱的,正面,0.7229830876187183,0.7229830876187183
此用户没有填写评价。,负面,0.17591049606621786,0.8240895039337821
19天后追评：好好吃，又重新买了一大袋,中性,0.271151257080929,0.771151257080929
保质期：保质期4个月，收到货差不多已经过了两个月，不注意还吃过期产品呢,负面,0.18123239690810689,0.8187676030918931
商家回复：非常抱歉给您带来不好的购物体验，DGI鸡胸肉肠低脂高蛋白，基本无添加，一袋10根，保质期为4个月，您收到货品还有将近两个月保质期，食用是没有问题的哈，也理解您可能非常介意这方面，如实在不满也可以联系在线客服给您处理哦。,负面,0.1740984083767506,0.8259015916232494
更多,中性,0.5980997177798684,0.9019002822201316
不好吃，一股塑料味，但是拆开了没法退了，好烦啊还买了各种一堆，看得闹心,负面,0.1763182153996995,0.8236817846003005
商家回复：您好，非常抱歉没有让您满意度，控能鸡胸肉肠高蛋白无淀粉级，无油嫩蒸，低脂不怕胖，特别添加鸡胸软骨口感Q弹，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。,负面,0.22106959338276455,0.7789304066172354
更多,中性,0.5980997177798684,0.9019002822201316
不好吃，香精味很重,负面,0.31920348703559615,0.6807965129644038
商家回复：您好 实在抱歉没能让您满意，我们甄选优质新鲜鸡胸肉原料，无淀粉级，低脂高蛋白，经5道蒸煮工艺，锁鲜控温更大程度保留鸡肉的鲜嫩口感，因为每个人的口味不同，尤其对于甜咸这些的接受程度差异较大，建议您吃之前煎一下或者切段煮汤加蔬菜来改善口感。感谢您为我们提出的建议，咱们后续也会根据大众意见改善升级。,负面,0.2514583934523804,0.7485416065476196
更多,中性,0.5980997177798684,0.9019002822201316
真贵，一包就十条，每条就手指那么粗。有点不值得。,中性,0.4333606138579885,0.9333606138579885
商家回复：感谢您的光临和选购，袋装控能鸡胸肉肠选用武夷山生态鸡肉，低脂高蛋白，无淀粉级，特别添加鸡胸软骨，口感层次更丰富；净含量为250g一袋，在我们的网站首页上都有标明，袋内共10根鸡胸肉肠，既卫生又方便食用，建议您多多关注小店的优惠活动，祝您生活愉快,负面,0.23661590347181727,0.7633840965281827
更多,中性,0.5980997177798684,0.9019002822201316
没有胡椒味，巨难吃,负面,0.284137597658883,0.715862402341117
商家回复：控能鸡胸肉肠高蛋白无淀粉级，无油嫩蒸，低脂不怕胖，特别添加鸡胸软骨口感Q弹，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。,负面,0.22166791938068287,0.7783320806193171
更多,中性,0.5980997177798684,0.9019002822201316
此用户没有填写评价。,负面,0.17591049606621786,0.8240895039337821
21天后追评：就这么一小份东西25块多？真敢卖啊味道也不好吃,负面,0.1174190869262358,0.8825809130737642
味道一般般,中性,0.4268949795975524,0.9268949795975524
商家回复：DGI鸡胸肉肠高蛋白无淀粉，提升了膳食纤维含量饱腹感佳，可能每个人口感不一样，很多顾客反馈是比较Q弹的，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。,负面,0.23367760807486207,0.766322391925138
更多,中性,0.5980997177798684,0.9019002822201316
一点都不好吃，难吃的要命 踩雷,负面,0.13408766414211815,0.8659123358578819
商家回复：实在抱歉没能让您满意~因为每个人的口味不同，尤其对于甜咸这些的接受程度差异较大，建议您吃之前煎一下或者切段煮汤加蔬菜来改善口感。感谢您为我们提出的建议，咱们后续也会根据大众意见改善升级。,负面,0.23529698393982793,0.7647030160601721
更多,中性,0.5980997177798684,0.9019002822201316
此用户没有填写评价。,负面,0.17591049606621786,0.8240895039337821
25天后追评：口味不好 谨慎,负面,0.12330236294294031,0.8766976370570597
此用户没有填写评价。,负面,0.17591049606621786,0.8240895039337821
18天后追评：这味道很差很差、很难闻,负面,0.08677046310996689,0.9132295368900332
此用户没有填写评价。,负面,0.17591049606621786,0.8240895039337821
32天后追评：一点都不好吃,负面,0.15638432917253084,0.8436156708274691
此用户没有填写评价。,负面,0.17591049606621786,0.8240895039337821
58天后追评：买了好几次了，这次的不太行，包装看着没坏但拆开就是一股臭味，看了也在保质期内，天气也不热，所以感觉是生产的时候就有问题了。买了好几袋大部分都不能吃,负面,0.18470286178698248,0.8152971382130175
原味的口感还可以，就是直接吃味稍偏咸。,中性,0.4332008732841049,0.9332008732841048
商家回复：鸡胸肉肠高蛋白无淀粉，提升了膳食纤维含量饱腹感佳，可能每个人口感不一样，很多顾客反馈是比较Q弹的，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。,负面,0.23374762412038608,0.7662523758796139
更多,中性,0.5980997177798684,0.9019002822201316
还行吧，口味一般,正面,0.718201493597511,0.718201493597511
商家回复：您好 非常感谢您选择我们的产品 控能鸡胸肉肠高蛋白无淀粉，口感不柴 ，添加了鸡胸软骨 层次更丰富，可能每个人口感不一样，很多顾客反馈是比较Q弹的，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。祝您天天开心,中性,0.35614080239320955,0.8561408023932096
更多,中性,0.5980997177798684,0.9019002822201316
很不错 适合减脂的时候吃 孕妇也可以吃,正面,0.895,0.895
最好的一点就是独立包装，黑胡椒味我很喜欢。,正面,0.7578711271185627,0.7578711271185627
好吃 非常适合减肥的人,正面,0.895,0.895
新鲜度：日期新鲜 保质期：四个月，还不错 口感味道：有嚼劲，黑胡椒口味有点重口哈哈哈,正面,0.7998052309921725,0.7998052309921725
有点咸，好吃的。,中性,0.43384338612033263,0.9338433861203326
很难吃，……无法保持沉默的程度。我一般不评论。,中性,0.5427345586222764,0.9572654413777236
商家回复：控能鸡胸肉肠高蛋白无淀粉级，无油嫩蒸，低脂不怕胖，特别添加鸡胸软骨口感Q弹，很多顾客都非常喜欢想要多买，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。,负面,0.23961987422633546,0.7603801257736645
更多,中性,0.5980997177798684,0.9019002822201316
好咸呐，不好吃,负面,0.32427690262767994,0.6757230973723201
商家回复：控能鸡胸肉肠高蛋白无淀粉，额外添加了脆骨饱腹感佳，可能每个人口感不一样，很多顾客反馈是比较Q弹的，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。,负面,0.23520073822843363,0.7647992617715664
更多,中性,0.5980997177798684,0.9019002822201316
划下来比山姆的还贵一点的，不过味道一模一样好吃,中性,0.478850528727458,0.978850528727458
挺好吃的，发货也超快！,正面,0.8719430937416519,0.8719430937416519
吃着感觉口感一般，就当解馋了,正面,0.705013035475573,0.705013035475573
商家回复：控能鸡胸肉肠高蛋白无淀粉，额外添加了脆骨饱腹感佳，可能每个人口感不一样，很多顾客反馈是比较Q弹的，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。,负面,0.23520073822843363,0.7647992617715664
更多,中性,0.5980997177798684,0.9019002822201316
好评,中性,0.5685421686746986,0.9314578313253014
巨难吃，有一股塑料味，吃了两口就吃不下去了,负面,0.16630917120271216,0.8336908287972878
商家回复：您好。控能鸡胸肉肠高蛋白无淀粉，额外添加了脆骨饱腹感佳，可能每个人口感不一样，很多顾客反馈是比较Q弹的，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。,负面,0.24154944869803258,0.7584505513019675
更多,中性,0.5980997177798684,0.9019002822201316
口感味道：味道蛮好的，还加了鸡脆骨，热量也很低。很有嚼劲，就是吃多了腮帮子累😂,正面,0.7368709356522865,0.7368709356522865
李佳琦直播间购买，好吃，控卡！健身来一根，压力很小！,中性,0.5563235038318555,0.9436764961681445
多次回购,负面,0.27892121822404925,0.7210787817759508
没有想象中那么难吃 就是相比正常的火腿肠要硬一点点 我觉得味道也可以 挺好吃的,正面,0.7840856252689963,0.7840856252689963
很好，比东方某选的好,正面,0.864801434364406,0.864801434364406
可以,中性,0.5207238976281685,0.9792761023718315
有点硬,中性,0.3095170807453417,0.8095170807453417
商家回复：控能鸡胸肉肠高蛋白无淀粉级，无油嫩蒸，低脂不怕胖，特别添加鸡胸软骨口感Q弹，很多顾客都非常喜欢想要多买，如果直接吃不太喜欢，或者是口感觉得较硬，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。,负面,0.2445034813020732,0.7554965186979268
更多,中性,0.5980997177798684,0.9019002822201316
回购很多次的一款，口感还是不错的，有嚼劲，都说三伏天减肥效果好，果断下单饿的时候吃解解馋，希望抓住这次黄金减肥期嘿,正面,0.6588241375355943,0.6588241375355943
商家回复：感谢您的喜欢~这款鸡胸肉肠人气很高喔! 口感不柴，无淀粉级的；生产过程中不额外添加食用油，碳水含量低至每根1.5g，1根鸡肉肠蛋白质含量约5.4g，一根热量才32大卡左右；日常可以当做健康低脂小零食，减脂期间可以搭配沙拉哦~祝您生活愉快,负面,0.33774428592441724,0.6622557140755827
更多,中性,0.5980997177798684,0.9019002822201316
口感味道：个人口味吧，，，我不是太喜欢,中性,0.5591260840634933,0.9408739159365067
商家回复：控能鸡胸肉肠高蛋白无淀粉级，无油嫩蒸，低脂不怕胖，特别添加鸡胸软骨口感Q弹，很多顾客都非常喜欢想要多买，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。,负面,0.23961987422633546,0.7603801257736645
更多,中性,0.5980997177798684,0.9019002822201316
非常难吃 打开还有点滴水,负面,0.16324394690828764,0.8367560530917124
商家回复：非常抱歉给您带来不好的购物体验，本店销售的产品都是健康代餐食品，旨在为消费者提供蓍养均衡的零食，生产厂广家都经过严格筛选，生产资质齐全符合国家标准，每个批次都有严格质控，出厂都有检测报告，品质是有保障的。如果在购买食用过程中遇到相应问题，可以与在线客服联系帮您积极处理哦,中性,0.40684497671106,0.90684497671106
更多,中性,0.5980997177798684,0.9019002822201316
很好吃，嘉琦直播间很合算,正面,0.791720441084085,0.791720441084085
